Product / Offer Name,# Bottles,Product Cost,Shipping Cost,Total COGS,Gateway (3.3%),Total Cost For Us,Price Before Discounts,Price On Site,Shipping To Customer,Total Revenue,Margin $,Margin %,BE ROAS,Savings $,Savings %,Target CPA 2x ROAS,Target CPA 2.5x ROAS,Eff. $/Bottle,Origins Strategy
$5 Off Protocol Bundle (2 bottles),2,$8.06,$10.83,$18.89,$2.80,$21.69,$99.90,$84.90,$0.00,$84.90,$63.21,74.45%,1.34,$15.00,15.02%,$42.45,$33.96,$42.45,"Stack: $89.90 bundle - $5 first order = $84.90. Pushes new customers to higher AOV. 74.5% margin"
$10 Off Transformation Bundle (3 bottles),3,$12.09,$13.96,$26.05,$3.63,$29.68,$149.85,$109.85,$0.00,$109.85,$80.17,72.98%,1.37,$40.00,26.69%,$54.93,$43.94,$36.62,"Stack: $119.85 bundle - $10 first order = $109.85. $40 perceived savings. 73% margin. Best acquisition + AOV combo"
--- SUBSCRIBE & SAVE (Recurring Revenue Engine) ---,,,,,,,,,,,,,,,,,,,
"Sub: 1x 120ct Every 60 Days (14% off)",1,$4.03,$7.70,$11.73,$1.42,$13.15,$49.95,$42.95,$0.00,$42.95,$29.80,69.38%,1.44,$7.00,14.01%,$21.48,$17.18,$42.95,"$0.72/day. $21.48/mo effective. Recurring margin $29.80/shipment. 5-cycle LTV = $214.75, total margin = $149.00"
"Sub: 2x 120ct Every 120 Days (14% off)",2,$8.06,$10.83,$18.89,$2.55,$21.44,$89.90,$77.30,$0.00,$77.30,$55.86,72.26%,1.38,$12.60,14.01%,$38.65,$30.92,$38.65,"$0.64/day. $19.33/mo effective. Best $/day in the NMN market. 5-cycle LTV = $386.50, total margin = $279.30"
--- FUTURE PRICE INCREASE (Post-Launch — After Reviews + Social Proof) ---,,,,,,,,,,,,,,,,,,,
"1x 120ct Full Price (Post-Launch)",1,$4.03,$7.70,$11.73,$1.98,$13.71,$69.95,$59.95,$0.00,$59.95,$46.24,77.13%,1.30,$10.00,14.30%,$29.98,$23.98,$59.95,"Raise to $59.95 once you have 50+ reviews and proven CPA. 77% margin gives more ad spend room"
"2x 120ct Bundle (Post-Launch)",2,$8.06,$10.83,$18.89,$3.63,$22.52,$119.90,$109.90,$0.00,$109.90,$87.38,79.51%,1.26,$10.00,8.34%,$54.95,$43.96,$54.95,"Post-launch bundle. 79.5% margin. Massive CPA ceiling of $54.95 at 2x ROAS"
"3x 120ct Bundle (Post-Launch)",3,$12.09,$13.96,$26.05,$5.28,$31.33,$179.85,$159.85,$0.00,$159.85,$128.52,80.40%,1.24,$20.00,11.12%,$79.93,$63.94,$53.28,"Post-launch best value. 80.4% margin. This is the long-term sustainable offer structure"
--- EMPTY SLOTS FOR TESTING ---,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
